entry_date,exit_date,position,entry_price,exit_price,position_size,pnl,balance,return_pct,close_reason
4921,4925,short,1913.62,1889.33,9.857221301477214e+50,2.3943190541288117e+52,3.337467845475453e+52,4.788638108257623e+51,signal_change
4925,4927,long,1889.33,1894.67,3.532964432338928e+51,1.886603006869039e+52,5.224070852344492e+52,3.773206013738078e+51,signal_change
4927,4933,short,1894.67,1937.32,5.514491549815526e+51,-2.3519306459963145e+53,-1.8295235607618653e+53,-4.703861291992629e+52,stop_loss
4934,4935,short,1942.42,1940.06,-1.8837569225624377e+52,-4.4456663372475927e+52,-2.2740901944866247e+53,-8.891332674495185e+51,signal_change
4935,4937,long,1940.06,1938.47,-2.344350375232338e+52,3.727517096619226e+52,-1.9013384848247021e+53,7.455034193238453e+51,signal_change
4937,4941,short,1938.47,1919.13,-1.9616898737919104e+52,-3.7939082159135386e+53,-5.695246700738241e+53,-7.587816431827077e+52,signal_change
4941,4942,long,1919.13,1922.33,-5.935238051344349e+52,-1.8992761764300836e+53,-7.594522877168324e+53,-3.798552352860167e+52,signal_change
4942,4953,short,1922.33,1900.58,-7.901372685406069e+52,-1.7185485590758198e+54,-2.478000846792652e+54,-3.4370971181516398e+53,signal_change
4953,4955,long,1900.58,1864.8,-2.6076259318656957e+53,9.330085584215452e+54,6.8520847374228e+54,1.8660171168430904e+54,signal_change
4955,4958,short,1864.8,1822.94,7.3488682297541825e+53,3.076236240975093e+55,3.7614447147173735e+55,6.152472481950186e+54,signal_change
4958,4959,long,1822.94,1821.1,4.126789378385875e+54,-7.59329245623061e+54,3.0021154690943123e+55,-1.5186584912461222e+54,signal_change
4959,4960,short,1821.1,1820.24,3.2970352743883506e+54,2.8354503359736518e+54,3.285660502691677e+55,5.670900671947304e+53,signal_change
4960,4961,long,1820.24,1831.84,3.610139874622772e+54,4.1877622545623826e+55,7.47342275725406e+55,8.375524509124765e+54,signal_change
4961,4962,short,1831.84,1861.35,8.159471086180081e+54,-2.4078599175317415e+56,-1.6605176418063356e+56,-4.815719835063483e+55,signal_change
4962,4963,long,1861.35,1860.42,-1.7842078510826398e+55,1.659313301506563e+55,-1.4945863116556794e+56,3.3186266030131255e+54,signal_change
4963,4964,short,1860.42,1874.27,-1.6067192479716188e+55,2.2253061584406773e+56,7.307198467849979e+55,4.4506123168813545e+55,signal_change
4964,4968,long,1874.27,1923.05,7.797380812636365e+54,3.8035623604040165e+56,4.534282207189014e+56,7.607124720808033e+55,signal_change
4968,4970,short,1923.05,1974.28,4.7157195155497925e+55,-2.4158631078161594e+57,-1.962434887097258e+57,-4.831726215632319e+56,stop_loss
4971,4989,short,1980.9,1959.19,-1.98135684496669e+56,-4.301525710422691e+57,-6.26396059751995e+57,-8.603051420845383e+56,signal_change
4989,4990,long,1959.19,1981.1,-6.394439127925264e+56,-1.401021612928416e+58,-2.027417672680411e+58,-2.8020432258568322e+57,signal_change
4990,4991,short,1981.1,1980.56,-2.0467595504319934e+57,-1.1052501572332019e+57,-2.1379426884037313e+58,-2.210500314466404e+56,signal_change
4991,4993,long,1980.56,1998.26,-2.1589274633474685e+57,-3.821301610125029e+58,-5.95924429852876e+58,-7.642603220250058e+57,signal_change
4993,4998,short,1998.26,2041.07,-5.964433355548087e+57,2.5533739195101328e+59,1.9574494896572566e+59,5.106747839020266e+58,stop_loss
4999,5001,short,2044.12,2071.63,1.9152001738227276e+58,-5.268715678186366e+59,-3.311266188529109e+59,-1.0537431356372733e+59,signal_change
5001,5002,long,2071.63,2028.89,-3.1967737371336665e+58,1.3663010952509294e+60,1.0351744763980186e+60,2.732602190501859e+59,stop_loss
5003,5006,long,2019.36,2004.04,1.02525005585732e+59,-1.5706830855734076e+60,-5.35508609175389e+59,-3.1413661711468156e+59,signal_change
5006,5007,short,2004.04,1981.69,-5.344290624692011e+58,-1.1944489546186597e+60,-1.7299575637940486e+60,-2.3888979092373194e+59,signal_change
5007,5009,long,1981.69,2027.23,-1.7459416596884967e+59,-7.951018318221407e+60,-9.680975882015456e+60,-1.5902036636442816e+60,signal_change
5009,5011,short,2027.23,2019.02,-9.550939836146325e+59,-7.841321605476167e+60,-1.7522297487491623e+61,-1.5682643210952333e+60,signal_change
5011,5012,long,2019.02,2027.21,-1.7357230228023122e+60,-1.421557155675103e+61,-3.173786904424265e+61,-2.8431143113502064e+60,signal_change
5012,5015,short,2027.21,2045.78,-3.1311871038760316e+60,5.81461445189777e+61,2.6408275474735054e+61,1.1629228903795541e+61,signal_change
5015,5017,long,2045.78,2067.44,2.5817317086622272e+60,5.592030880962406e+61,8.232858428435911e+61,1.1184061761924811e+61,signal_change
5017,5019,short,2067.44,2065.25,7.964302159613736e+60,1.7441821729554516e+61,9.977040601391362e+61,3.4883643459109035e+60,signal_change
5019,5020,long,2065.25,2062.67,9.661823606237853e+60,-2.4927504904092958e+61,7.484290110982067e+61,-4.985500980818592e+60,signal_change
5020,5021,short,2062.67,2058.91,7.256895296855112e+60,2.7285926316176807e+61,1.0212882742599748e+62,5.457185263235361e+60,signal_change
5021,5023,long,2058.91,2043.28,9.920669424695347e+60,-1.550600631079871e+62,-5.293123568198963e+61,-3.101201262159742e+61,signal_change
5023,5025,short,2043.28,2028.18,-5.181006585684745e+60,-7.823319944383918e+61,-1.311644351258288e+62,-1.5646639888767834e+61,signal_change
5025,5026,long,2028.18,2030.21,-1.293420062576584e+61,-2.6256427270304306e+61,-1.574208623961331e+62,-5.251285454060861e+60,signal_change
5026,5027,short,2030.21,2024.32,-1.5507840311705008e+61,-9.134117943594405e+61,-2.4876204183207717e+62,-1.826823588718881e+61,signal_change
5027,5030,long,2024.32,2054.6,-2.4577343684010155e+61,-7.442019667518268e+62,-9.92964008583904e+62,-1.4884039335036537e+62,signal_change
5030,5031,short,2054.6,2028.22,-9.665764709275811e+61,-2.5498287303069478e+63,-3.542792738890852e+63,-5.099657460613896e+62,signal_change
5031,5032,long,2028.22,2006.11,-3.4934994614892386e+62,7.724127309352751e+63,4.1813345704618995e+63,1.5448254618705502e+63,signal_change
5032,5034,short,2006.11,2029.33,4.168599498992477e+62,-9.679488036660544e+63,-5.498153466198644e+63,-1.9358976073321087e+63,signal_change
5034,5035,long,2029.33,2021.62,-5.418688400800899e+62,4.177808757017513e+63,-1.3203447091811316e+63,8.355617514035026e+62,signal_change
5035,5036,short,2021.62,2029.23,-1.3062244231666994e+62,9.94036786029875e+62,-3.263079231512566e+62,1.9880735720597498e+62,signal_change
5036,5037,long,2029.23,2013.5,-3.2160762767281837e+61,5.058887983293438e+62,1.7958087517808725e+62,1.0117775966586877e+62,signal_change
5037,5039,short,2013.5,2018.49,1.7837683156502334e+61,-8.901003895094681e+61,9.057083622714043e+61,-1.7802007790189363e+61,signal_change
5039,5040,long,2018.49,2032.7,8.97411790270355e+60,1.2752221539741777e+62,2.180930516245582e+62,2.5504443079483554e+61,signal_change
5040,5045,short,2032.7,2025.03,2.1458459352049804e+61,1.6458638323022356e+62,3.8267943485478174e+62,3.291727664604471e+61,signal_change
5045,5046,long,2025.03,2035.86,3.7794939813709596e+61,4.0931919818247217e+62,7.919986330372539e+62,8.186383963649444e+61,signal_change
5046,5047,short,2035.86,2035.0,7.780482283037674e+61,6.691214763411622e+61,8.5891078067137e+62,1.3382429526823244e+61,signal_change
5047,5048,long,2035.0,2034.33,8.441383593821818e+61,-5.655727007861232e+61,8.023535105927577e+62,-1.1311454015722465e+61,signal_change
5048,5050,short,2034.33,2019.94,7.888135264118975e+61,1.1351026645067104e+63,1.9374561750994682e+63,2.270205329013421e+62,signal_change
5050,5053,long,2019.94,2004.25,1.9183304208040518e+62,-3.0098604302415678e+63,-1.0724042551420996e+63,-6.019720860483135e+62,signal_change
5053,5059,short,2004.25,2035.52,-1.0701302284067353e+62,3.346297224227859e+63,2.2738929690857597e+63,6.692594448455719e+62,signal_change
5059,5060,long,2035.52,2031.16,2.234213340164439e+62,-9.741170163116731e+62,1.2997759527740866e+63,-1.9482340326233462e+62,signal_change
5060,5061,short,2031.16,2030.38,1.2798361062388847e+62,9.982721628662952e+61,1.399603169060716e+63,1.9965443257325905e+61,signal_change
5061,5062,long,2030.38,2034.37,1.3786613038551562e+62,5.5008586023817725e+62,1.9496890292988934e+63,1.1001717204763545e+62,signal_change
5062,5064,short,2034.37,2083.26,1.916749685945913e+62,-9.37098921458963e+63,-7.421300185290737e+63,-1.874197842917926e+63,stop_loss
5065,5066,long,2114.27,2127.84,-7.020201001093273e+62,-9.526412758483686e+63,-1.6947712943774424e+64,-1.905282551696737e+63,signal_change
5066,5067,short,2127.84,2148.03,-1.592949934560345e+63,3.216165917877345e+64,1.5213946234999026e+64,6.4323318357546896e+63,signal_change
5067,5068,long,2148.03,2159.93,1.416548766544138e+63,1.6856930321874726e+64,3.207087655687375e+64,3.371386064374945e+63,signal_change
5068,5069,short,2159.93,2178.55,2.9696218448629125e+63,-5.529435875134846e+64,-2.3223482194474705e+64,-1.105887175026969e+64,signal_change
5069,5070,long,2178.55,2182.65,-2.1320127786348444e+63,-8.741252392402668e+63,-3.1964734586877373e+64,-1.7482504784805335e+63,signal_change
5070,5073,short,2182.65,2162.19,-2.928983995315545e+63,-5.992701254415616e+64,-9.189174713103353e+64,-1.1985402508831232e+64,signal_change
5073,5075,long,2162.19,2160.26,-8.49987717370199e+63,1.640476294524345e+64,-7.548698418579008e+64,3.2809525890486905e+63,signal_change
5075,5076,short,2160.26,2157.48,-6.988694341032104e+63,-1.9428570268070647e+64,-9.491555445386072e+64,-3.885714053614129e+63,signal_change
5076,5079,long,2157.48,2165.27,-8.79874246378745e+63,-6.854220379290392e+64,-1.6345775824676465e+65,-1.3708440758580782e+64,signal_change
5079,5080,short,2165.27,2171.73,-1.5098140947481345e+64,9.753399052073003e+64,-6.592376772603462e+64,1.9506798104146005e+64,signal_change
5080,5082,long,2171.73,2194.88,-6.0710832125572346e+63,-1.4054557637070053e+65,-2.0646934409673516e+65,-2.8109115274140105e+64,signal_change
5082,5083,short,2194.88,2232.88,-1.8813725041618236e+64,7.14921551581493e+65,5.084522074847578e+65,1.429843103162986e+65,signal_change
5083,5084,long,2232.88,2251.31,4.55422779087777e+64,8.393441818587656e+65,1.3477963893435233e+66,1.6786883637175314e+65,signal_change
5084,5086,short,2251.31,2299.64,1.1973441146208415e+65,-5.786764105962518e+66,-4.438967716618995e+66,-1.1573528211925037e+66,stop_loss
5087,5089,long,2290.95,2338.82,-3.875220076054908e+65,-1.855067850407498e+67,-2.2989646220693974e+67,-3.710135700814995e+66,signal_change
5089,5090,short,2338.82,2352.22,-1.9659183879643558e+66,2.6343306398721652e+67,3.353660178027678e+66,5.2686612797443305e+66,signal_change
5090,5095,long,2352.22,2382.85,2.8514851315163365e+65,8.73409895783457e+66,1.2087759135862249e+67,1.746819791566914e+66,signal_change
5095,5098,short,2382.85,2390.63,1.014563160573452e+66,-7.89330138926166e+66,4.194457746600589e+66,-1.578660277852332e+66,signal_change
5098,5099,long,2390.63,2327.25,3.509081494501942e+65,-2.2240558512153345e+67,-1.8046100765552755e+67,-4.448111702430669e+66,stop_loss
5100,5103,long,2322.11,2337.78,-1.5542847466789047e+66,-2.435564198045855e+67,-4.2401742746011306e+67,-4.87112839609171e+66,signal_change
